"star","title","author","date","info_2","info_3","product","date_scraped","verfied","days_to_review","star_rating"
"1.0 out of 5 stars","Press ""hold"" then up or down; let the temp flash on LED, up r down, then it's ""held""","BILLY AND ALLEY","7-31-2016","Verified Purchase","Update-stopped working properly a few months after my review but just getting a chance to change this to one star rating. I would set it on 75 degrees then an hour later it would be set to 71 even after turning off the programming. First one worked 10 years!Old Review- Mine worked great after setting a few programmable times. I usually set it to hold anyway during the summer. Despite the neg reviews some gave, mine worked great and is still doing what I programmed it to do. If you want to hold at a center temp; as some were having problems; just make sure you press ""Hold"" (you can see the hold change on the led) then press the up or down button until the temp flashes on the LED, then it's on the temp you want it held at. I use this programmable one during the winter. 2nd one I have owned. First one lasted 10 years; practically identical to this one, same brand/buttons; just a newer version I guess.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Good quality product, easy install for inexperienced user... go for it","hendysuz","11-10-2017","Verified Purchase","Installation complete!  I am not an electrician and I don't have a man around to do these things for me (not worth it when I am pretty capable).  This was really easy, and I normally shy away from electrical work, but the instructions seemed clear on the exterior package.  The book inside was well written and concise. Had the tools, turned off the breakers and about 30 minutes later I had a functioning thermostat.  It's running now and things seem to be working well.  I'll update again if it doesn't seem to doing the job or fails.Gave it five stars, o my negative I can find is that it was so inexpensive so in the back of my head I'm anticipating failure... but everything seems to be working. Looks really nice on my wall, and quality of product is nice.  5 stars","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Worth the money","Mark J Daniels","2-21-2015","Verified Purchase","The thermostats work great. I bought them for the Parrish Hall for the Church. There were 8 zones so I needed 8 units. The programing of the thermostats is very easy. The instructions are printed inside the cover. One unit did come with a bad LCD display and needed to be replaced. Amazon, as always, made sure the exchange was quick and painless.  I would have only deducted half a star but I am not allowed to. The reason for the 4 stars is as follows. 1. There is a sticker that covers the LCD screen that is really tough to remove. You really need to pull hard to get it off. I wonder if this is the reason one LCD display was not working.  2.  Included in the package are stickers that you can mark the wires going to the thermostat. The stickers had really poor adhesive on them and would not stick together at all. I had to use scotch tape to hold the stickers on. The stickers would not be a problem for a 2 wire connection but 3 of the thermostats have 5 wire connections.  3. Batteries not included.  4. There is only 2 mounting screws in the package. There should be a minimum of 3.  Overall the units are doing what I need them to do.","Hunter_44157","2018-01-31","yes",NA,4
"1.0 out of 5 stars","Does what it wants to","Haawwkeye","8-15-2017","Verified Purchase","I bought this one as a replacement for my other Hunter Thermostat, and finally installed it today and wouldn't you know it, it doesn't work and my Return window closed on Jul 17, 2017.  What a bummer.  It will not stay at a set temp, it basically does what it wants to, so I put my old one back up till I can find one that will work......I don't know if we got a defective one, but this thermostat does not stick to the settings we programmed into it.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","Doesn't work correctly","Astrid","8-21-2015","Verified Purchase","We received this thermostat and within an hour or so it was clear it didn't measure the temperature correctly and it kept resetting itself. We would have it programmed to stay at 75 and after three hours it would decide to just switch to 85. After 2 days of this and setting all kinds of programs, we decided it was time to exchange it. I asked for an exchange rather than a return thinking it was just one bad unit and because it was an exact replica of our old, broken thermostat, just a different brand. The replacement arrived and this time it took about 10 hours before that unit too was defective. We call the manufacturers, thinking maybe this was operator error but they told us ""you'll need to buy a new one""Needless to say we won't be buying a new one.This is one terrible product. I'm currently processing my refund through amazon and we've since bought a completely different thermostat that works just fine.","Hunter_44157","2018-01-31","yes",NA,1
"1.0 out of 5 stars","We like to keep our heat on 65","User","11-14-2014","Verified Purchase","I don't know if we got a defective one, but this thermostat does not stick to the settings we programmed into it.  We like to keep our heat on 65, and lower it when we're not home.  A couple of times we've heard the burner constantly on and checked it, and it was set to 69 degrees.  Other times it has been off altogether.  We will be returning this for a different thermostat.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Perfect for RV!","LogicalOne","11-1-2014","Verified Purchase","Utilizing this in my fifth wheel camper, this is one of very few with an adjustable span setting. Using this to keep the furnace from cycling excessively. With the span setting at three the furnace is operating as it should and does not cycle mor than once an hour! This is exactly what I needed!","Hunter_44157","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Wonderful!!","H.Howard","8-17-2017","Verified Purchase","Easy to hook up, Easy to program, Easy to use, and never fails us.  The filter indicator as well as the battery indicator are great.  I love this little box!!","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Great item!","RC","12-3-2017","Verified Purchase","This unit replaced the same unit that I purchased 10 years ago.  Any glitches in the 10-year old unit have been remedied.  Worth every penny!","Hunter_44157","2018-01-31","yes",NA,4
"3.0 out of 5 stars","Worked fine, except it only functions properly with a HVAC ...","Manvessel","11-23-2017","Verified Purchase","Worked fine, except it only functions properly with a HVAC that has a heat pump, otherwise it won't allow separate control of heat and AC. Should have warning on label.","Hunter_44157","2018-01-31","yes",NA,3
"1.0 out of 5 stars","One Star","Bill","2-15-2017","Verified Purchase","Do not buy a Hunter Thermostat-Tried 4 all defective.","Hunter_44157","2018-01-31","yes",NA,1
"5.0 out of 5 stars","great thermostat for the money","Jeffrey J. Smith","11-26-2014","Verified Purchase","Just bought a house, and needed a new thermostat. After looking and reading some reviews I decided on this one.  Easy to install, and easy to program.  nice to have the weekday programmed out for when im at work and home, and the weekend being separate is nice.  Worth the money, worked with my hot water heater furnace system, (two wire, white and black). Here's hoping to a more energy efficient bill.","Hunter_44157","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Good product for a fair price","Eric M.","3-15-2017","Verified Purchase","Reasonable inexpensive thermostat. I've had one of these in my house for almost ten years, still works flawlessly.","Hunter_44157","2018-01-31","yes",NA,4
