X1,X2,X3,review,word,POS,d_word,d_POS,Count,topic,sentiment2
1,1,1,update-stopped working properly a few months after my review,months,NNS,few,JJ,11,NO,0
1,1,1,update-stopped working properly a few months after my review,working,VBG,properly,RB,8,Feelings,1
1,1,2,just getting a chance to change this to one star rating.,chance,NN,getting,VBG,1,NO,0
1,1,2,just getting a chance to change this to one star rating.,change,VB,chance,NN,1,NO,0
1,1,2,just getting a chance to change this to one star rating.,getting,VBG,just,RB,1,NO,0
1,2,1,i would set it on 75 degrees then an hour later it would be set to 71 even after turning off the programming.,programming,NN,turning,VBG,1,NO,0
1,2,1,i would set it on 75 degrees then an hour later it would be set to 71 even after turning off the programming.,hour,NN,later,RB,1,NO,0
1,2,1,i would set it on 75 degrees then an hour later it would be set to 71 even after turning off the programming.,set,VBN,later,RB,1,NO,0
1,3,1,first one worked 10 years.,years,NNS,worked,VBD,1,NO,1
1,4,1,old review- mine worked great after setting a few programmable times.,times,NNS,few,JJ,2,NO,0
1,4,1,old review- mine worked great after setting a few programmable times.,times,NNS,programmable,JJ,1,NO,0
1,4,1,old review- mine worked great after setting a few programmable times.,times,NNS,setting,VBG,2,NO,0
1,4,1,old review- mine worked great after setting a few programmable times.,worked,VBD,great,JJ,14,Feelings,1
1,5,1,i usually set it to hold anyway during the summer.,set,VBP,usually,RB,1,NO,0
1,5,1,i usually set it to hold anyway during the summer.,hold,VB,anyway,RB,1,Costs,0
1,5,1,i usually set it to hold anyway during the summer.,hold,VB,anyway,RB,1,NO,0
1,6,1,"despite the neg reviews some gave, mine worked great and is still doing what i programmed it to do.",gave,VBD,reviews,NNS,1,NO,0
1,6,1,"despite the neg reviews some gave, mine worked great and is still doing what i programmed it to do.",worked,VBD,great,JJ,14,Feelings,1
1,6,1,"despite the neg reviews some gave, mine worked great and is still doing what i programmed it to do.",doing,VBG,still,RB,3,NO,0
1,7,1,"if you want to hold at a center temp ; as some were having problems ; just make sure you press `` hold '' then press the up or down button until the temp flashes on the led, then it is on the temp you want it held at.",problems,NNS,having,VBG,3,NO,-1
1,7,1,"if you want to hold at a center temp ; as some were having problems ; just make sure you press `` hold '' then press the up or down button until the temp flashes on the led, then it is on the temp you want it held at.",button,NN,press,VB,9,Control/Occupancy,0
1,7,1,"if you want to hold at a center temp ; as some were having problems ; just make sure you press `` hold '' then press the up or down button until the temp flashes on the led, then it is on the temp you want it held at.",want,VBP,temp,NN,2,NO,0
1,7,1,"if you want to hold at a center temp ; as some were having problems ; just make sure you press `` hold '' then press the up or down button until the temp flashes on the led, then it is on the temp you want it held at.",up,NN,down,RB,3,NO,0
1,7,1,"if you want to hold at a center temp ; as some were having problems ; just make sure you press `` hold '' then press the up or down button until the temp flashes on the led, then it is on the temp you want it held at.",hold,VBP,sure,JJ,1,NO,0
